 #  energy  xx  yy  zz  xy  xz  yz
         2.2455         2.0861         1.1651         0.0033         0.9275        -0.0028        -0.0513
         2.2458         1.7307         1.7875         0.0059         1.1030        -0.0048        -0.0827
         2.2461         0.7384         0.9919         0.0022         0.6073        -0.0030        -0.0356
         2.2465         1.3666         0.5335         0.0017         0.4785        -0.0029        -0.0263
         2.2469         1.8185         1.7786         0.0057         1.2172        -0.0053        -0.0777
         2.2471         1.8710         1.9285         0.0062         1.2331        -0.0096        -0.0891
         2.2517         1.7479         1.9162         0.0033         1.2264        -0.0136        -0.0677
         2.2518         1.0314         1.2797         0.0026         0.7923        -0.0092        -0.0484
         2.4116         0.1545         0.0450         0.0032         0.0182         0.0117        -0.0085
         2.4121         0.2134         0.0419         0.0013         0.0474         0.0130        -0.0010
         2.4130         0.1115         0.0347         0.0021         0.0172         0.0046        -0.0072
         2.4136         0.2124         0.0386         0.0011         0.0540         0.0111        -0.0007
         2.4145         0.2945         0.0513         0.0013         0.0484         0.0151        -0.0025
         2.4146         0.1843         0.0431         0.0035         0.0157         0.0106        -0.0100
         2.4178         0.2460         0.0347         0.0014        -0.0831         0.0178        -0.0052
         2.4181         0.1216         0.0495         0.0026         0.0138         0.0061        -0.0097
         2.4182         0.1683         0.0292         0.0005         0.0405         0.0056        -0.0012
         2.4183         0.1722         0.0568         0.0007         0.0374         0.0091        -0.0015
         2.4189         0.0183         0.0082         0.0020         0.0067         0.0013        -0.0029
         2.4192         0.1583         0.0405         0.0022         0.0101         0.0062        -0.0083
         2.4193         2.5390         0.4752         0.0040        -0.2995         0.0833        -0.0335
         2.4195         0.2632         0.0484         0.0013        -0.1108         0.0175        -0.0069
         2.4196         1.8262         0.7256         0.0070        -0.5831         0.0962        -0.0629
         2.4197         0.2762         0.0415         0.0020        -0.0973         0.0222        -0.0067
         2.4206         0.0835         0.0386         0.0003         0.0210         0.0034        -0.0011
         2.4207         0.0621         0.0259         0.0033        -0.0086         0.0052        -0.0091
         2.4208         2.4480         0.4726         0.0040        -0.2965         0.0844        -0.0320
         2.4211         0.1349         0.0514         0.0023         0.0105         0.0074        -0.0091
         2.4212         1.8616         0.7494         0.0067        -0.5944         0.0985        -0.0603
         2.4216         0.0072         0.0012         0.0015         0.0005         0.0005        -0.0013
         2.4226         1.7980         0.7337         0.0077        -0.5800         0.0968        -0.0679
         2.4227         2.5279         0.4702         0.0048        -0.2970         0.0854        -0.0386
         2.4232         0.0992         0.0172         0.0005        -0.0404         0.0066        -0.0024
         2.4240         0.2197         0.0517         0.0015        -0.1040         0.0167        -0.0072
         2.4253         2.5550         0.4627         0.0044        -0.2785         0.0919        -0.0315
         2.4255         1.8354         0.7554         0.0065        -0.6000         0.0970        -0.0598
         2.4256         0.0573         0.0176         0.0003        -0.0309         0.0035        -0.0016
         2.4262         0.1370         0.0504         0.0024        -0.0653         0.0107        -0.0105
         2.4265         2.5586         0.4690         0.0045        -0.2728         0.0794        -0.0383
         2.4275         2.6402         0.4643         0.0040        -0.2552         0.0830        -0.0324
         2.4276         0.1090         0.0390         0.0034        -0.0591         0.0159        -0.0113
         2.4278         2.9058         1.3244         0.0146        -1.8947         0.2034        -0.1384
         2.4280         1.8061         0.7560         0.0079        -0.5752         0.0983        -0.0696
         2.4284         2.8887         1.3152         0.0152        -1.8718         0.2088        -0.1388
         2.4294         1.8128         0.7593         0.0070        -0.5845         0.0964        -0.0637
         2.4300         3.6742         1.2940         0.0165        -1.8778         0.2395        -0.1400
         2.4301         0.2485         0.0942         0.0037        -0.1420         0.0267        -0.0186
