 #  energy  xx  yy  zz  xy  xz  yz
         0.1007         0.0000         0.0000         0.0000      1947.0565         0.0000      1213.1868
         0.1013         0.0000         0.0000         0.0000      1960.2088         0.0000      1221.3744
         0.1020         0.0000         0.0000         0.0000      1973.3646         0.0000      1229.5641
         0.1027         0.0000         0.0000         0.0000      1986.5238         0.0000      1237.7559
         0.1033         0.0000         0.0000         0.0000      1999.6866         0.0000      1245.9498
         0.1040         0.0000         0.0000         0.0000      2012.8529         0.0000      1254.1457
         0.1047         0.0000         0.0000         0.0000      2026.0228         0.0000      1262.3438
         0.1053         0.0000         0.0000         0.0000      2039.1960         0.0000      1270.5439
         0.1060         0.0000         0.0000         0.0000      2052.3729         0.0000      1278.7461
         0.1067         0.0000         0.0000         0.0000      2065.5532         0.0000      1286.9504
         0.1073         0.0000         0.0000         0.0000      2078.7370         0.0000      1295.1568
         0.1080         0.0000         0.0000         0.0000      2091.9244         0.0000      1303.3653
         0.1087         0.0000         0.0000         0.0000      2105.1152         0.0000      1311.5758
         0.1093         0.0000         0.0000         0.0000      2118.3097         0.0000      1319.7885
         0.1100         0.0000         0.0000         0.0000      2131.5076         0.0000      1328.0032
         0.1107         0.0000         0.0000         0.0000      2144.7090         0.0000      1336.2200
         0.1113         0.0000         0.0000         0.0000      2157.9140         0.0000      1344.4390
         0.1120         0.0000         0.0000         0.0000      2171.1225         0.0000      1352.6600
         0.1127         0.0000         0.0000         0.0000      2184.3346         0.0000      1360.8831
         0.1133         0.0000         0.0000         0.0000      2197.5502         0.0000      1369.1083
         0.1140         0.0000         0.0000         0.0000      2210.7692         0.0000      1377.3356
         0.1147         0.0000         0.0000         0.0000      2223.9919         0.0000      1385.5651
         0.1153         0.0000         0.0000         0.0000      2237.2181         0.0000      1393.7966
         0.1160         0.0000         0.0000         0.0000      2250.4479         0.0000      1402.0302
         0.1167         0.0000         0.0000         0.0000      2263.6811         0.0000      1410.2659
         0.1173         0.0000         0.0000         0.0000      2276.9179         0.0000      1418.5037
         0.1180         0.0000         0.0000         0.0000      2290.1583         0.0000      1426.7437
         0.1187         0.0000         0.0000         0.0000      2303.4022         0.0000      1434.9858
         0.1193         0.0000         0.0000         0.0000      2316.6498         0.0000      1443.2299
         0.1200         0.0000         0.0000         0.0000      2329.9008         0.0000      1451.4762
         0.1207         0.0000         0.0000         0.0000      2343.1555         0.0000      1459.7245
         0.1213         0.0000         0.0000         0.0000      2356.4136         0.0000      1467.9750
         0.1220         0.0000         0.0000         0.0000      2369.6753         0.0000      1476.2277
         0.1227         0.0000         0.0000         0.0000      2382.9406         0.0000      1484.4824
         0.1233         0.0000         0.0000         0.0000      2396.2095         0.0000      1492.7392
         0.1240         0.0000         0.0000         0.0000      2409.4818         0.0000      1500.9982
         0.1247         0.0000         0.0000         0.0000      2422.7580         0.0000      1509.2593
         0.1253         0.0000         0.0000         0.0000      2436.0375         0.0000      1517.5224
         0.1260         0.0000         0.0000         0.0000      2449.3206         0.0000      1525.7878
         0.1267         0.0000         0.0000         0.0000      2462.6073         0.0000      1534.0552
         0.1273         0.0000         0.0000         0.0000      2475.8977         0.0000      1542.3248
         0.1280         0.0000         0.0000         0.0000      2489.1916         0.0000      1550.5965
         0.1287         0.0000         0.0000         0.0000      2502.4891         0.0000      1558.8703
         0.1293         0.0000         0.0000         0.0000      2515.7902         0.0000      1567.1463
         0.1300         0.0000         0.0000         0.0000      2529.0948         0.0000      1575.4244
         0.1307         0.0000         0.0000         0.0000      2542.4030         0.0000      1583.7045
         0.1313         0.0000         0.0000         0.0000      2555.7148         0.0000      1591.9869
         0.1320         0.0000         0.0000         0.0000      2569.0303         0.0000      1600.2714
         0.1327         0.0000         0.0000         0.0000      2582.3493         0.0000      1608.5580
         0.1333         0.0000         0.0000         0.0000      2595.6720         0.0000      1616.8467
         0.1340         0.0000         0.0000         0.0000      2608.9983         0.0000      1625.1376
         0.1347         0.0000         0.0000         0.0000      2622.3280         0.0000      1633.4306
         0.1353         0.0000         0.0000         0.0000      2635.6615         0.0000      1641.7257
         0.1360         0.0000         0.0000         0.0000      2648.9987         0.0000      1650.0231
         0.1367         0.0000         0.0000         0.0000      2662.3393         0.0000      1658.3225
         0.1373         0.0000         0.0000         0.0000      2675.6836         0.0000      1666.6241
         0.1380         0.0000         0.0000         0.0000      2689.0315         0.0000      1674.9278
         0.1387         0.0000         0.0000         0.0000      2702.3830         0.0000      1683.2337
         0.1393         0.0000         0.0000         0.0000      2715.7381         0.0000      1691.5418
         0.1400         0.0000         0.0000         0.0000      2729.0969         0.0000      1699.8519
         0.1407         0.0000         0.0000         0.0000      2742.4593         0.0000      1708.1643
         0.1413         0.0000         0.0000         0.0000      2755.8254         0.0000      1716.4787
         0.1420         0.0000         0.0000         0.0000      2769.1949         0.0000      1724.7954
         0.1427         0.0000         0.0000         0.0000      2782.5683         0.0000      1733.1141
         0.1433         0.0000         0.0000         0.0000      2795.9453         0.0000      1741.4351
         0.1440         0.0000         0.0000         0.0000      2809.3257         0.0000      1749.7582
         0.1447         0.0000         0.0000         0.0000      2822.7100         0.0000      1758.0834
         0.1453         0.0000         0.0000         0.0000      2836.0978         0.0000      1766.4108
         0.1460         0.0000         0.0000         0.0000      2849.4893         0.0000      1774.7404
         0.1467         0.0000         0.0000         0.0000      2862.8844         0.0000      1783.0721
         0.1473         0.0000         0.0000         0.0000      2876.2831         0.0000      1791.4060
         0.1480         0.0000         0.0000         0.0000      2889.6856         0.0000      1799.7421
         0.1487         0.0000         0.0000         0.0000      2903.0917         0.0000      1808.0803
         0.1493         0.0000         0.0000         0.0000      2916.5014         0.0000      1816.4207
         0.1500         0.0000         0.0000         0.0000      2929.9147         0.0000      1824.7632
         0.1507         0.0000         0.0000         0.0000      2943.3319         0.0000      1833.1080
         0.1513         0.0000         0.0000         0.0000      2956.7526         0.0000      1841.4549
         0.1520         0.0000         0.0000         0.0000      2970.1769         0.0000      1849.8040
         0.1527         0.0000         0.0000         0.0000      2983.6050         0.0000      1858.1552
         0.1533         0.0000         0.0000         0.0000      2997.0366         0.0000      1866.5086
         0.1540         0.0000         0.0000         0.0000      3010.4721         0.0000      1874.8642
         0.1547         0.0000         0.0000         0.0000      3023.9111         0.0000      1883.2220
         0.1553         0.0000         0.0000         0.0000      3037.3538         0.0000      1891.5820
         0.1560         0.0000         0.0000         0.0000      3050.8002         0.0000      1899.9441
         0.1567         0.0000         0.0000         0.0000      3064.2504         0.0000      1908.3084
         0.1573         0.0000         0.0000         0.0000      3077.7041         0.0000      1916.6749
         0.1580         0.0000         0.0000         0.0000      3091.1616         0.0000      1925.0436
         0.1587         0.0000         0.0000         0.0000      3104.6227         0.0000      1933.4144
         0.1593         0.0000         0.0000         0.0000      3118.0876         0.0000      1941.7875
         0.1600         0.0000         0.0000         0.0000      3131.5561         0.0000      1950.1627
         0.1607         0.0000         0.0000         0.0000      3145.0282         0.0000      1958.5402
         0.1613         0.0000         0.0000         0.0000      3158.5043         0.0000      1966.9198
         0.1620         0.0000         0.0000         0.0000      3171.9838         0.0000      1975.3016
         0.1627         0.0000         0.0000         0.0000      3185.4671         0.0000      1983.6856
         0.1633         0.0000         0.0000         0.0000      3198.9542         0.0000      1992.0718
         0.1640         0.0000         0.0000         0.0000      3212.4449         0.0000      2000.4601
         0.1647         0.0000         0.0000         0.0000      3225.9394         0.0000      2008.8508
         0.1653         0.0000         0.0000         0.0000      3239.4375         0.0000      2017.2435
         0.1660         0.0000         0.0000         0.0000      3252.9392         0.0000      2025.6386
         0.1667         0.0000         0.0000         0.0000      3266.4448         0.0000      2034.0357
         0.1673         0.0000         0.0000         0.0000      3279.9542         0.0000      2042.4352
         0.1680         0.0000         0.0000         0.0000      3293.4672         0.0000      2050.8368
         0.1687         0.0000         0.0000         0.0000      3306.9840         0.0000      2059.2405
         0.1693         0.0000         0.0000         0.0000      3320.5044         0.0000      2067.6465
         0.1700         0.0000         0.0000         0.0000      3334.0285         0.0000      2076.0547
         0.1707         0.0000         0.0000         0.0000      3347.5564         0.0000      2084.4651
         0.1713         0.0000         0.0000         0.0000      3361.0881         0.0000      2092.8778
         0.1720         0.0000         0.0000         0.0000      3374.6234         0.0000      2101.2927
         0.1727         0.0000         0.0000         0.0000      3388.1626         0.0000      2109.7097
         0.1733         0.0000         0.0000         0.0000      3401.7054         0.0000      2118.1290
         0.1740         0.0000         0.0000         0.0000      3415.2521         0.0000      2126.5504
         0.1747         0.0000         0.0000         0.0000      3428.8024         0.0000      2134.9742
         0.1753         0.0000         0.0000         0.0000      3442.3563         0.0000      2143.4001
         0.1760         0.0000         0.0000         0.0000      3455.9143         0.0000      2151.8283
         0.1767         0.0000         0.0000         0.0000      3469.4757         0.0000      2160.2587
         0.1773         0.0000         0.0000         0.0000      3483.0412         0.0000      2168.6912
         0.1780         0.0000         0.0000         0.0000      3496.6102         0.0000      2177.1260
         0.1787         0.0000         0.0000         0.0000      3510.1831         0.0000      2185.5631
         0.1793         0.0000         0.0000         0.0000      3523.7596         0.0000      2194.0024
         0.1800         0.0000         0.0000         0.0000      3537.3401         0.0000      2202.4438
         0.1807         0.0000         0.0000         0.0000      3550.9242         0.0000      2210.8875
         0.1813         0.0000         0.0000         0.0000      3564.5120         0.0000      2219.3336
         0.1820         0.0000         0.0000         0.0000      3578.1037         0.0000      2227.7817
         0.1827         0.0000         0.0000         0.0000      3591.6991         0.0000      2236.2321
         0.1833         0.0000         0.0000         0.0000      3605.2983         0.0000      2244.6848
         0.1840         0.0000         0.0000         0.0000      3618.9014         0.0000      2253.1397
         0.1847         0.0000         0.0000         0.0000      3632.5081         0.0000      2261.5968
         0.1853         0.0000         0.0000         0.0000      3646.1188         0.0000      2270.0562
         0.1860         0.0000         0.0000         0.0000      3659.7331         0.0000      2278.5178
         0.1867         0.0000         0.0000         0.0000      3673.3511         0.0000      2286.9816
         0.1873         0.0000         0.0000         0.0000      3686.9731         0.0000      2295.4477
         0.1880         0.0000         0.0000         0.0000      3700.5987         0.0000      2303.9160
         0.1887         0.0000         0.0000         0.0000      3714.2283         0.0000      2312.3867
         0.1893         0.0000         0.0000         0.0000      3727.8615         0.0000      2320.8595
         0.1900         0.0000         0.0000         0.0000      3741.4986         0.0000      2329.3346
         0.1907         0.0000         0.0000         0.0000      3755.1395         0.0000      2337.8119
         0.1913         0.0000         0.0000         0.0000      3768.7841         0.0000      2346.2915
         0.1920         0.0000         0.0000         0.0000      3782.4326         0.0000      2354.7733
         0.1927         0.0000         0.0000         0.0000      3796.0850         0.0000      2363.2574
         0.1933         0.0000         0.0000         0.0000      3809.7411         0.0000      2371.7437
         0.1940         0.0000         0.0000         0.0000      3823.4011         0.0000      2380.2323
         0.1947         0.0000         0.0000         0.0000      3837.0648         0.0000      2388.7233
         0.1953         0.0000         0.0000         0.0000      3850.7324         0.0000      2397.2163
         0.1960         0.0000         0.0000         0.0000      3864.4037         0.0000      2405.7117
         0.1967         0.0000         0.0000         0.0000      3878.0789         0.0000      2414.2093
         0.1973         0.0000         0.0000         0.0000      3891.7579         0.0000      2422.7093
         0.1980         0.0000         0.0000         0.0000      3905.4407         0.0000      2431.2115
         0.1987         0.0000         0.0000         0.0000      3919.1275         0.0000      2439.7159
         0.1993         0.0000         0.0000         0.0000      3932.8180         0.0000      2448.2225
         0.2000         0.0000         0.0000         0.0000      3946.5124         0.0000      2456.7316
         0.2007         0.0000         0.0000         0.0000      3960.2105         0.0000      2465.2428
         0.2013         0.0000         0.0000         0.0000      3973.9126         0.0000      2473.7563
         0.2020         0.0000         0.0000         0.0000      3987.6184         0.0000      2482.2721
         0.2027         0.0000         0.0000         0.0000      4001.3281         0.0000      2490.7902
         0.2033         0.0000         0.0000         0.0000      4015.0418         0.0000      2499.3105
         0.2040         0.0000         0.0000         0.0000      4028.7591         0.0000      2507.8331
         0.2047         0.0000         0.0000         0.0000      4042.4804         0.0000      2516.3580
         0.2053         0.0000         0.0000         0.0000      4056.2055         0.0000      2524.8853
         0.2060         0.0000         0.0000         0.0000      4069.9345         0.0000      2533.4147
         0.2067         0.0000         0.0000         0.0000      4083.6673         0.0000      2541.9465
         0.2073         0.0000         0.0000         0.0000      4097.4040         0.0000      2550.4805
         0.2080         0.0000         0.0000         0.0000      4111.1446         0.0000      2559.0168
         0.2087         0.0000         0.0000         0.0000      4124.8890         0.0000      2567.5555
         0.2093         0.0000         0.0000         0.0000      4138.6374         0.0000      2576.0963
         0.2100         0.0000         0.0000         0.0000      4152.3895         0.0000      2584.6395
         0.2107         0.0000         0.0000         0.0000      4166.1455         0.0000      2593.1850
         0.2113         0.0000         0.0000         0.0000      4179.9055         0.0000      2601.7328
         0.2120         0.0000         0.0000         0.0000      4193.6693         0.0000      2610.2827
         0.2127         0.0000         0.0000         0.0000      4207.4370         0.0000      2618.8352
         0.2133         0.0000         0.0000         0.0000      4221.2086         0.0000      2627.3899
         0.2140         0.0000         0.0000         0.0000      4234.9841         0.0000      2635.9467
         0.2147         0.0000         0.0000         0.0000      4248.7633         0.0000      2644.5060
         0.2153         0.0000         0.0000         0.0000      4262.5465         0.0000      2653.0676
         0.2160         0.0000         0.0000         0.0000      4276.3337         0.0000      2661.6314
         0.2167         0.0000         0.0000         0.0000      4290.1247         0.0000      2670.1976
         0.2173         0.0000         0.0000         0.0000      4303.9196         0.0000      2678.7661
         0.2180         0.0000         0.0000         0.0000      4317.7186         0.0000      2687.3369
         0.2187         0.0000         0.0000         0.0000      4331.5213         0.0000      2695.9101
         0.2193         0.0000         0.0000         0.0000      4345.3278         0.0000      2704.4854
         0.2200         0.0000         0.0000         0.0000      4359.1385         0.0000      2713.0631
         0.2207         0.0000         0.0000         0.0000      4372.9530         0.0000      2721.6432
         0.2213         0.0000         0.0000         0.0000      4386.7713         0.0000      2730.2255
         0.2220         0.0000         0.0000         0.0000      4400.5935         0.0000      2738.8102
         0.2227         0.0000         0.0000         0.0000      4414.4198         0.0000      2747.3971
         0.2233         0.0000         0.0000         0.0000      4428.2499         0.0000      2755.9865
         0.2240         0.0000         0.0000         0.0000      4442.0840         0.0000      2764.5781
         0.2247         0.0000         0.0000         0.0000      4455.9220         0.0000      2773.1720
