 #  energy  xx  yy  zz  sp  sm
         2.4193         2.5390         0.4752         0.0040         2.5640         0.4503
         2.4195         0.2632         0.0484         0.0013         0.1341         0.1775
         2.4196         1.8262         0.7256         0.0070         0.2834         2.2684
         2.4197         0.2762         0.0415         0.0020         0.1141         0.2036
         2.4206         0.0835         0.0386         0.0003         0.1138         0.0083
         2.4207         0.0621         0.0259         0.0033         0.0048         0.0832
         2.4208         2.4480         0.4726         0.0040         2.4943         0.4264
         2.4211         0.1349         0.0514         0.0023         0.0105         0.1757
         2.4212         1.8616         0.7494         0.0067         0.2848         2.3262
         2.4216         0.0072         0.0012         0.0015         0.0013         0.0072
         2.4226         1.7980         0.7337         0.0077         0.2745         2.2572
         2.4227         2.5279         0.4702         0.0048         2.5481         0.4501
         2.4232         0.0992         0.0172         0.0005         0.0492         0.0673
         2.4240         0.2197         0.0517         0.0015         0.1128         0.1586
         2.4253         2.5550         0.4627         0.0044         2.5599         0.4578
         2.4255         1.8354         0.7554         0.0065         0.2822         2.3086
         2.4256         0.0573         0.0176         0.0003         0.0298         0.0452
         2.4262         0.1370         0.0504         0.0024         0.0423         0.1451
         2.4265         2.5586         0.4690         0.0045         2.5747         0.4529
         2.4275         2.6402         0.4643         0.0040         2.6296         0.4749
         2.4276         0.1090         0.0390         0.0034         0.0465         0.1016
         2.4278         2.9058         1.3244         0.0146         2.6235         1.6067
         2.4280         1.8061         0.7560         0.0079         0.2639         2.2982
         2.4284         2.8887         1.3152         0.0152         2.6455         1.5583
         2.4294         1.8128         0.7593         0.0070         0.2688         2.3032
         2.4300         3.6742         1.2940         0.0165         3.5923         1.3759
         2.4301         0.2485         0.0942         0.0037         0.1145         0.2281
         2.4310         2.3026         2.1051         0.0230         1.6209         2.7868
         2.4316         2.8798         1.3173         0.0142         2.5952         1.6019
         2.4319         3.0735         1.3468         0.0156         2.7735         1.6468
         2.4323         2.5545         1.7551         0.0217         1.2053         3.1043
         2.4324         3.6801         1.2877         0.0164         3.6246         1.3432
         2.4325         3.6338         1.3111         0.0150         3.5556         1.3893
         2.4332         2.2614         2.1115         0.0218         1.6469         2.7260
         2.4334         0.4952         0.5006         0.0030         0.2372         0.7586
         2.4338         2.3198         2.1202         0.0227         1.5882         2.8519
         2.4339         2.5317         1.7871         0.0216         1.2260         3.0927
         2.4341         3.1203         1.3263         0.0141         2.7793         1.6673
         2.4343         0.3599         0.4001         0.0020         0.1998         0.5602
         2.4343         2.9436         1.2880         0.0132         2.6484         1.5832
         2.4351         2.5457         1.7246         0.0215         1.1563         3.1140
         2.4367         0.5076         0.4963         0.0036         0.2432         0.7607
         2.4371         3.5652         1.2846         0.0143         3.5158         1.3340
         2.4377         0.4845         0.3337         0.0007         0.5804         0.2379
         2.4383         0.4705         0.3150         0.0007         0.5293         0.2562
         2.4384         3.6103         1.2480         0.0141         3.5348         1.3236
         2.4387         2.6168         1.7975         0.0215         1.2106         3.2037
         2.4387         2.2297         2.1252         0.0223         1.5507         2.8041
         2.4389         0.3577         0.4089         0.0019         0.1970         0.5696
         2.4392         2.7410         1.7959         0.0225         1.2391         3.2978
         2.4393         2.1878         2.1225         0.0203         1.5803         2.7300
         2.4396         1.1647         0.6418         0.0012         0.2743         1.5322
         2.4399         0.7174         0.5135         0.0006         0.8993         0.3316
         2.4404         3.4601         1.2196         0.0134         3.4079         1.2718
         2.4404         2.0403         2.4406         0.0321         1.5312         2.9497
         2.4407         0.3794         0.3940         0.0026         0.2014         0.5720
         2.4410         2.6231         1.9895         0.0184         3.3826         1.2301
         2.4411         2.8153         1.8199         0.0226         1.2733         3.3619
         2.4411         1.2858         0.7511         0.0010         0.2996         1.7373
         2.4414         2.6255         1.9285         0.0188         3.3256         1.2285
         2.4414         1.1617         0.6460         0.0013         0.2760         1.5318
         2.4416         1.9907         2.4050         0.0306         1.5013         2.8944
         2.4420         0.3537         0.3975         0.0020         0.1894         0.5618
         2.4422         0.0252         0.0301         0.0005         0.0314         0.0239
         2.4422         2.0935         2.0917         0.0206         1.4978         2.6874
         2.4423         0.6816         0.5310         0.0004         0.8895         0.3231
         2.4423         0.5834         0.3960         0.0006         0.6706         0.3087
         2.4423         0.3010         0.0519         0.0023         0.1961         0.1567
         2.4429         1.7631         0.9882         0.0011         2.1284         0.6229
         2.4440         0.6667         0.5006         0.0003         0.8447         0.3226
         2.4440         0.3129         0.0820         0.0025         0.1997         0.1952
         2.4441         2.5322         1.9809         0.0166         3.3145         1.1986
         2.4444         1.2885         0.7495         0.0006         0.2951         1.7429
